order_item_id;order_id;customer_id;product_id;order_date;quantity;unit_price;sales_channel;payment_method;revenue
36;7268;506;2;2026-01-09 00:00:00;2;32,9;delivery;desconhecido;65,8
37;5577;1709;9;2026-05-07 00:00:00;2;8;balcão;cartao de credito;16
38;5133;473;6;2026-04-19 00:00:00;1;15,9;app;cartao de credito;15,9
39;338;176;4;2026-03-12 00:00:00;1;14,9;balcão;pix;14,9
40;7275;358;8;2026-06-11 00:00:00;2;8;delivery;dinheiro;16
41;1037;622;10;2026-02-25 00:00:00;2;12,9;app;cartão de crédito;25,8
42;2769;1609;8;2026-04-12 00:00:00;1;8;delivery;cartão de crédito;8
43;1641;408;1;2026-05-20 00:00:00;4;28,9;app;pix;115,6
44;820;691;8;2026-02-08 00:00:00;2;8;delivery;pix;16
45;641;841;9;2026-01-27 00:00:00;3;8;app;pix;24
46;3792;966;5;2026-03-11 00:00:00;4;16,9;balcão;cartão de crédito;67,6
47;1455;163;9;2026-02-22 00:00:00;1;8;balcão;desconhecido;8
48;5957;1939;10;2026-01-17 00:00:00;4;12,9;delivery;dinheiro;51,6
49;7569;1000;1;2026-04-23 00:00:00;2;28,9;app;desconhecido;57,8
50;3363;1892;5;2026-05-25 00:00:00;3;16,9;balcão;dinheiro;50,7
51;1698;1516;1;2026-02-23 00:00:00;3;28,9;delivery;pix;86,7
52;3386;742;1;2026-01-01 00:00:00;3;28,9;app;cartao de credito;86,7
53;4789;1723;1;2026-01-11 00:00:00;1;28,9;app;desconhecido;28,9
54;1434;298;3;2026-05-12 00:00:00;4;29,9;app;pix;119,6
55;697;490;9;2026-01-30 00:00:00;4;8;app;desconhecido;32
56;4190;1096;6;2026-05-12 00:00:00;1;15,9;delivery;dinheiro;15,9
57;2692;474;4;2026-03-22 00:00:00;2;14,9;delivery;pix;29,8
58;759;1886;1;2026-05-03 00:00:00;4;28,9;app;desconhecido;115,6
59;5973;1297;4;2026-02-22 00:00:00;4;14,9;delivery;dinheiro;59,6
60;1375;87;10;2026-03-30 00:00:00;4;12,9;app;pix;51,6
61;3612;219;6;2026-01-31 00:00:00;1;15,9;balcão;desconhecido;15,9
62;5311;98;9;2026-06-17 00:00:00;2;8;balcão;dinheiro;16
63;3450;1173;1;2026-01-14 00:00:00;4;28,9;delivery;cartão de crédito;115,6
64;1968;1149;7;2026-05-13 00:00:00;4;18,9;balcão;dinheiro;75,6
65;3043;610;7;2026-06-05 00:00:00;2;18,9;delivery;cartao de credito;37,8
66;3238;1016;1;2026-04-25 00:00:00;3;28,9;delivery;dinheiro;86,7
67;4631;32;2;2026-02-08 00:00:00;3;32,9;delivery;desconhecido;98,7
68;7454;120;5;2026-03-02 00:00:00;4;16,9;delivery;cartao de credito;67,6
69;957;479;5;2026-02-17 00:00:00;4;16,9;balcão;pix;67,6
70;7931;124;6;2026-04-19 00:00:00;4;15,9;delivery;pix;63,6
71;7673;1910;8;2026-06-07 00:00:00;4;8;delivery;pix;32
72;2045;1031;10;2026-02-01 00:00:00;1;12,9;app;pix;12,9
73;7319;666;8;2026-01-24 00:00:00;3;8;app;dinheiro;24
74;5953;1950;3;2026-01-17 00:00:00;3;29,9;balcão;dinheiro;89,7
75;7670;1277;1;2026-02-14 00:00:00;1;28,9;app;cartão de crédito;28,9
76;4592;421;1;2026-02-13 00:00:00;4;28,9;balcão;dinheiro;115,6
77;4222;548;10;2026-03-07 00:00:00;2;12,9;app;desconhecido;25,8
78;1279;601;5;2026-03-09 00:00:00;4;16,9;app;pix;67,6
79;3638;270;10;2026-02-24 00:00:00;2;12,9;balcão;pix;25,8
80;3892;812;7;2026-02-09 00:00:00;3;18,9;balcão;pix;56,7
81;7507;1076;7;2026-03-27 00:00:00;3;18,9;delivery;cartao de credito;56,7
82;7484;737;5;2026-06-28 00:00:00;2;16,9;app;dinheiro;33,8
83;5276;689;9;2026-06-24 00:00:00;2;8;app;cartão de crédito;16
84;7881;533;1;2026-01-24 00:00:00;4;28,9;delivery;pix;115,6
85;2037;597;5;2026-03-13 00:00:00;4;16,9;balcão;desconhecido;67,6
86;188;337;1;2026-05-25 00:00:00;1;28,9;balcão;dinheiro;28,9
87;4005;1115;2;2026-03-29 00:00:00;4;32,9;app;pix;131,6
88;6284;241;5;2026-04-12 00:00:00;3;16,9;balcão;dinheiro;50,7
89;7799;1651;5;2026-06-04 00:00:00;1;16,9;balcão;cartão de crédito;16,9
90;1918;1596;5;2026-01-12 00:00:00;3;16,9;delivery;dinheiro;50,7
91;5360;893;7;2026-03-28 00:00:00;3;18,9;balcão;pix;56,7
92;7162;1835;3;2026-01-29 00:00:00;3;29,9;app;pix;89,7
93;4212;976;1;2026-02-04 00:00:00;2;28,9;app;desconhecido;57,8
94;3051;1702;7;2026-01-23 00:00:00;4;18,9;delivery;desconhecido;75,6
95;492;1602;6;2026-02-17 00:00:00;2;15,9;delivery;cartão de crédito;31,8
96;1294;1627;5;2026-04-15 00:00:00;1;16,9;delivery;dinheiro;16,9
97;3679;338;5;2026-04-25 00:00:00;3;16,9;app;pix;50,7
98;4518;664;3;2026-05-22 00:00:00;3;29,9;delivery;cartao de credito;89,7
99;4965;1912;6;2026-04-27 00:00:00;1;15,9;delivery;dinheiro;15,9
100;4993;200;9;2026-02-08 00:00:00;1;8;balcão;cartão de crédito;8
101;827;369;7;2026-06-30 00:00:00;1;18,9;app;cartão de crédito;18,9
102;6239;561;6;2026-06-27 00:00:00;1;15,9;delivery;cartão de crédito;15,9
103;7570;1704;6;2026-04-27 00:00:00;3;15,9;app;desconhecido;47,7
104;5809;1052;1;2026-01-26 00:00:00;3;28,9;balcão;pix;86,7
105;2918;1557;6;2026-05-22 00:00:00;4;15,9;app;dinheiro;63,6
106;7250;145;6;2026-03-20 00:00:00;4;15,9;delivery;desconhecido;63,6
107;6636;1899;4;2026-05-16 00:00:00;4;14,9;balcão;dinheiro;59,6
108;4566;1103;9;2026-01-24 00:00:00;2;8;delivery;pix;16
109;3622;1313;2;2026-06-09 00:00:00;2;32,9;delivery;pix;65,8
110;1941;1545;1;2026-02-09 00:00:00;2;28,9;app;dinheiro;57,8
111;7029;1845;3;2026-05-28 00:00:00;2;29,9;app;cartao de credito;59,8
112;6412;476;5;2026-06-24 00:00:00;1;16,9;balcão;cartão de crédito;16,9
113;286;746;9;2026-04-22 00:00:00;4;8;delivery;desconhecido;32
114;4912;1649;10;2026-06-19 00:00:00;4;12,9;app;cartão de crédito;51,6
115;4508;305;1;2026-01-03 00:00:00;4;28,9;balcão;cartao de credito;115,6
116;226;1329;7;2026-05-07 00:00:00;3;18,9;delivery;pix;56,7
117;3279;660;8;2026-03-01 00:00:00;1;8;balcão;desconhecido;8
118;4416;1717;8;2026-05-24 00:00:00;1;8;app;dinheiro;8
119;6951;1959;5;2026-02-25 00:00:00;3;16,9;app;pix;50,7
120;5835;259;7;2026-05-19 00:00:00;1;18,9;app;desconhecido;18,9
121;1818;699;4;2026-01-06 00:00:00;2;14,9;app;cartão de crédito;29,8
122;3429;616;5;2026-06-22 00:00:00;1;16,9;app;cartao de credito;16,9
123;4702;1412;10;2026-06-11 00:00:00;3;12,9;delivery;cartao de credito;38,7
124;3288;83;8;2026-01-25 00:00:00;4;8;app;dinheiro;32
125;4153;1801;6;2026-01-08 00:00:00;2;15,9;app;pix;31,8
126;5007;1234;4;2026-01-29 00:00:00;3;14,9;balcão;pix;44,7
127;3174;1225;10;2026-01-29 00:00:00;3;12,9;balcão;cartão de crédito;38,7
128;6478;1978;6;2026-01-06 00:00:00;3;15,9;app;pix;47,7
129;7673;1028;8;2026-01-27 00:00:00;3;8;delivery;cartão de crédito;24
130;7840;679;4;2026-03-06 00:00:00;4;14,9;app;pix;59,6
131;5250;739;2;2026-01-19 00:00:00;3;32,9;app;dinheiro;98,7
132;6205;38;7;2026-03-30 00:00:00;3;18,9;app;pix;56,7
133;405;1192;5;2026-01-16 00:00:00;3;16,9;delivery;dinheiro;50,7
134;7538;693;9;2026-01-19 00:00:00;4;8;app;desconhecido;32
135;7849;160;5;2026-04-28 00:00:00;3;16,9;app;pix;50,7
136;2787;1679;3;2026-05-02 00:00:00;3;29,9;balcão;cartao de credito;89,7
137;202;1112;10;2026-05-18 00:00:00;2;12,9;app;pix;25,8
138;3345;843;3;2026-06-01 00:00:00;4;29,9;balcão;cartao de credito;119,6
139;6753;1461;4;2026-05-20 00:00:00;1;14,9;delivery;pix;14,9
140;7059;1392;5;2026-02-14 00:00:00;4;16,9;delivery;pix;67,6
141;494;884;10;2026-03-09 00:00:00;3;12,9;delivery;pix;38,7
142;1715;1909;10;2026-01-20 00:00:00;1;12,9;delivery;pix;12,9
143;4790;232;4;2026-03-25 00:00:00;2;14,9;app;cartão de crédito;29,8
144;3859;1435;8;2026-02-10 00:00:00;2;8;balcão;cartao de credito;16
145;5567;1285;8;2026-01-25 00:00:00;2;8;app;dinheiro;16
146;1970;1372;8;2026-04-05 00:00:00;1;8;delivery;pix;8
147;3871;774;10;2026-06-25 00:00:00;4;12,9;delivery;dinheiro;51,6
148;3799;590;7;2026-05-21 00:00:00;4;18,9;delivery;dinheiro;75,6
149;1825;1221;9;2026-06-11 00:00:00;2;8;delivery;pix;16
150;4052;895;8;2026-05-18 00:00:00;4;8;delivery;pix;32
151;2713;134;4;2026-01-19 00:00:00;3;14,9;balcão;pix;44,7
152;5166;1982;8;2026-06-21 00:00:00;2;8;app;pix;16
153;4271;885;7;2026-02-18 00:00:00;1;18,9;delivery;dinheiro;18,9
154;2819;848;3;2026-03-25 00:00:00;2;29,9;delivery;cartão de crédito;59,8
155;2155;414;10;2026-01-02 00:00:00;2;12,9;delivery;cartão de crédito;25,8
156;2450;29;9;2026-06-06 00:00:00;1;8;delivery;pix;8
157;2919;1718;7;2026-01-05 00:00:00;4;18,9;app;desconhecido;75,6
158;1292;1702;8;2026-06-22 00:00:00;2;8;app;cartão de crédito;16
159;7080;1090;10;2026-04-30 00:00:00;3;12,9;delivery;cartão de crédito;38,7
160;6315;149;6;2026-04-24 00:00:00;3;15,9;delivery;dinheiro;47,7
161;3929;1658;7;2026-01-24 00:00:00;1;18,9;delivery;cartão de crédito;18,9
162;6901;1089;1;2026-06-11 00:00:00;4;28,9;app;pix;115,6
163;2662;1245;7;2026-01-01 00:00:00;2;18,9;app;cartao de credito;37,8
164;6345;1299;10;2026-06-12 00:00:00;2;12,9;delivery;pix;25,8
165;2660;700;3;2026-04-11 00:00:00;2;29,9;delivery;cartão de crédito;59,8
166;6760;1017;7;2026-02-20 00:00:00;2;18,9;balcão;dinheiro;37,8
167;3387;422;1;2026-04-26 00:00:00;2;28,9;delivery;cartão de crédito;57,8
168;4697;471;1;2026-04-15 00:00:00;3;28,9;app;cartao de credito;86,7
169;2551;1109;2;2026-02-01 00:00:00;1;32,9;app;pix;32,9
170;5915;257;2;2026-06-08 00:00:00;1;32,9;app;pix;32,9
171;2204;708;10;2026-02-08 00:00:00;4;12,9;balcão;desconhecido;51,6
172;7885;1044;8;2026-04-30 00:00:00;2;8;delivery;cartão de crédito;16
173;7452;1853;4;2026-05-28 00:00:00;2;14,9;app;dinheiro;29,8
174;6012;1111;9;2026-02-02 00:00:00;3;8;delivery;pix;24
175;1319;1013;4;2026-02-11 00:00:00;2;14,9;delivery;dinheiro;29,8
176;1682;991;5;2026-01-01 00:00:00;3;16,9;balcão;desconhecido;50,7
177;2157;738;4;2026-03-25 00:00:00;3;14,9;balcão;pix;44,7
178;4038;1358;1;2026-01-01 00:00:00;3;28,9;delivery;pix;86,7
179;6822;1680;8;2026-05-04 00:00:00;4;8;delivery;pix;32
180;962;11;9;2026-03-23 00:00:00;4;8;delivery;dinheiro;32
181;5082;1657;9;2026-04-07 00:00:00;2;8;app;pix;16
182;7085;1732;1;2026-03-18 00:00:00;2;28,9;delivery;pix;57,8
183;1641;1155;3;2026-04-08 00:00:00;4;29,9;balcão;pix;119,6
184;5517;853;5;2026-03-01 00:00:00;4;16,9;balcão;cartao de credito;67,6
185;4344;378;7;2026-02-11 00:00:00;1;18,9;delivery;cartão de crédito;18,9
186;6993;1425;3;2026-02-23 00:00:00;2;29,9;app;dinheiro;59,8
187;1204;801;3;2026-01-20 00:00:00;2;29,9;app;cartão de crédito;59,8
188;523;1212;6;2026-05-16 00:00:00;1;15,9;delivery;pix;15,9
189;3031;493;2;2026-05-31 00:00:00;1;32,9;app;dinheiro;32,9
190;3241;1158;6;2026-04-19 00:00:00;3;15,9;app;dinheiro;47,7
191;6226;420;3;2026-02-25 00:00:00;1;29,9;delivery;dinheiro;29,9
192;3529;1601;7;2026-05-01 00:00:00;4;18,9;delivery;desconhecido;75,6
193;3383;1448;2;2026-03-10 00:00:00;4;32,9;balcão;cartao de credito;131,6
194;353;916;5;2026-05-08 00:00:00;4;16,9;balcão;dinheiro;67,6
195;6833;632;1;2026-03-18 00:00:00;4;28,9;delivery;cartao de credito;115,6
196;1407;900;8;2026-04-24 00:00:00;1;8;balcão;cartao de credito;8
197;3183;1268;9;2026-02-04 00:00:00;3;8;app;pix;24
198;2305;308;9;2026-04-01 00:00:00;1;8;balcão;cartão de crédito;8
199;6722;11;7;2026-02-08 00:00:00;4;18,9;delivery;pix;75,6
200;3157;268;6;2026-05-25 00:00:00;2;15,9;app;dinheiro;31,8
201;4872;1713;10;2026-03-02 00:00:00;1;12,9;balcão;desconhecido;12,9
202;4769;1157;1;2026-01-18 00:00:00;2;28,9;balcão;cartão de crédito;57,8
203;7522;1034;7;2026-04-05 00:00:00;4;18,9;delivery;cartão de crédito;75,6
204;2220;365;9;2026-05-05 00:00:00;2;8;app;pix;16
205;616;849;4;2026-05-10 00:00:00;4;14,9;balcão;pix;59,6
206;6670;460;2;2026-05-01 00:00:00;1;32,9;delivery;cartao de credito;32,9
207;7473;1017;6;2026-02-02 00:00:00;3;15,9;delivery;pix;47,7
208;1236;460;4;2026-05-03 00:00:00;4;14,9;balcão;cartao de credito;59,6
209;5920;1888;1;2026-03-02 00:00:00;1;28,9;app;dinheiro;28,9
210;4872;1747;5;2026-01-13 00:00:00;1;16,9;balcão;desconhecido;16,9
211;5048;1049;3;2026-05-30 00:00:00;2;29,9;app;pix;59,8
212;5883;1612;8;2026-05-18 00:00:00;1;8;balcão;cartão de crédito;8
213;3800;142;5;2026-02-28 00:00:00;1;16,9;app;cartão de crédito;16,9
214;6094;1789;8;2026-01-30 00:00:00;2;8;delivery;pix;16
215;3694;343;9;2026-01-27 00:00:00;2;8;balcão;cartao de credito;16
216;1525;314;6;2026-03-13 00:00:00;4;15,9;app;pix;63,6
217;6149;171;10;2026-04-19 00:00:00;4;12,9;delivery;pix;51,6
218;2651;177;2;2026-06-17 00:00:00;2;32,9;delivery;cartao de credito;65,8
219;5714;71;9;2026-05-13 00:00:00;3;8;delivery;dinheiro;24
220;6114;914;9;2026-03-25 00:00:00;1;8;delivery;cartão de crédito;8
221;2765;108;2;2026-03-02 00:00:00;1;32,9;balcão;dinheiro;32,9
222;7082;724;9;2026-02-01 00:00:00;1;8;app;pix;8
223;1769;1418;10;2026-02-03 00:00:00;4;12,9;delivery;dinheiro;51,6
224;634;1993;3;2026-02-14 00:00:00;1;29,9;balcão;dinheiro;29,9
225;913;193;5;2026-03-28 00:00:00;2;16,9;delivery;dinheiro;33,8
226;1602;1257;10;2026-04-18 00:00:00;1;12,9;app;dinheiro;12,9
227;1462;1338;1;2026-01-13 00:00:00;1;28,9;delivery;desconhecido;28,9
228;6524;776;2;2026-05-20 00:00:00;3;32,9;app;cartão de crédito;98,7
229;1955;144;8;2026-05-25 00:00:00;1;8;app;pix;8
230;3121;1234;6;2026-06-13 00:00:00;4;15,9;app;pix;63,6
231;103;1461;1;2026-02-08 00:00:00;3;28,9;delivery;dinheiro;86,7
232;4084;1681;5;2026-04-30 00:00:00;3;16,9;delivery;cartão de crédito;50,7
233;239;1091;2;2026-02-27 00:00:00;3;32,9;app;cartao de credito;98,7
234;1119;1714;4;2026-03-19 00:00:00;3;14,9;balcão;pix;44,7
235;5099;51;5;2026-01-07 00:00:00;1;16,9;balcão;cartão de crédito;16,9
236;2442;329;10;2026-04-07 00:00:00;4;12,9;balcão;pix;51,6
237;846;240;2;2026-02-25 00:00:00;4;32,9;app;cartão de crédito;131,6
238;4693;1002;1;2026-05-05 00:00:00;3;28,9;app;desconhecido;86,7
239;2882;577;7;2026-01-09 00:00:00;4;18,9;app;pix;75,6
240;2898;1967;8;2026-02-20 00:00:00;4;8;delivery;dinheiro;32
241;2047;1562;1;2026-02-11 00:00:00;4;28,9;delivery;cartao de credito;115,6
242;4889;209;1;2026-06-17 00:00:00;3;28,9;app;dinheiro;86,7
243;4264;1712;1;2026-01-05 00:00:00;1;28,9;app;pix;28,9
244;7412;183;1;2026-05-20 00:00:00;3;28,9;delivery;pix;86,7
245;6639;844;2;2026-03-29 00:00:00;3;32,9;delivery;pix;98,7
246;522;1917;10;2026-05-23 00:00:00;3;12,9;app;cartao de credito;38,7
247;2720;1871;2;2026-02-08 00:00:00;3;32,9;app;desconhecido;98,7
248;6293;216;1;2026-01-20 00:00:00;2;28,9;app;dinheiro;57,8
249;666;658;7;2026-06-30 00:00:00;3;18,9;delivery;dinheiro;56,7
250;2094;1357;3;2026-03-18 00:00:00;4;29,9;delivery;cartao de credito;119,6
251;2517;1464;10;2026-05-19 00:00:00;3;12,9;delivery;pix;38,7
252;5391;777;3;2026-01-18 00:00:00;3;29,9;balcão;cartao de credito;89,7
253;5216;626;1;2026-01-28 00:00:00;3;28,9;delivery;pix;86,7
254;6367;657;8;2026-01-13 00:00:00;2;8;app;cartao de credito;16
255;1500;151;8;2026-06-28 00:00:00;2;8;app;pix;16
256;4655;1676;5;2026-05-11 00:00:00;3;16,9;app;cartao de credito;50,7
257;5374;46;3;2026-06-22 00:00:00;4;29,9;balcão;cartao de credito;119,6
258;7438;148;1;2026-06-17 00:00:00;3;28,9;balcão;pix;86,7
259;6593;234;8;2026-06-16 00:00:00;2;8;delivery;dinheiro;16
260;4445;1709;5;2026-02-27 00:00:00;3;16,9;balcão;pix;50,7
261;631;1565;7;2026-05-27 00:00:00;3;18,9;balcão;cartao de credito;56,7
262;2932;149;7;2026-06-25 00:00:00;4;18,9;delivery;dinheiro;75,6
263;6889;457;1;2026-06-21 00:00:00;4;28,9;delivery;cartão de crédito;115,6
264;4215;416;1;2026-01-27 00:00:00;3;28,9;delivery;cartão de crédito;86,7
265;1001;1960;5;2026-04-29 00:00:00;1;16,9;delivery;cartão de crédito;16,9
266;4924;1754;5;2026-03-04 00:00:00;1;16,9;delivery;desconhecido;16,9
267;2543;1247;4;2026-04-05 00:00:00;4;14,9;app;cartão de crédito;59,6
268;6446;1595;9;2026-05-23 00:00:00;3;8;app;pix;24
269;5900;746;8;2026-05-09 00:00:00;1;8;app;pix;8
270;4598;1053;4;2026-05-13 00:00:00;2;14,9;delivery;pix;29,8
271;5872;385;6;2026-05-21 00:00:00;2;15,9;app;desconhecido;31,8
272;566;667;9;2026-05-04 00:00:00;2;8;delivery;cartão de crédito;16
273;3793;672;8;2026-01-20 00:00:00;1;8;app;pix;8
274;567;1092;6;2026-02-23 00:00:00;4;15,9;app;dinheiro;63,6
275;5657;981;8;2026-02-06 00:00:00;3;8;delivery;pix;24
276;3540;89;9;2026-01-16 00:00:00;1;8;app;pix;8
277;4117;864;1;2026-01-28 00:00:00;2;28,9;app;cartao de credito;57,8
278;4266;1749;7;2026-03-13 00:00:00;3;18,9;delivery;dinheiro;56,7
279;7561;720;4;2026-02-19 00:00:00;2;14,9;balcão;pix;29,8
280;7686;615;6;2026-04-21 00:00:00;3;15,9;delivery;cartão de crédito;47,7
281;5486;1008;9;2026-04-16 00:00:00;1;8;balcão;cartão de crédito;8
282;2901;1472;4;2026-06-07 00:00:00;4;14,9;app;cartao de credito;59,6
283;1202;716;2;2026-02-17 00:00:00;3;32,9;app;pix;98,7
284;1917;1638;6;2026-03-04 00:00:00;2;15,9;delivery;cartao de credito;31,8
285;600;1384;3;2026-05-07 00:00:00;3;29,9;app;dinheiro;89,7
286;6953;747;9;2026-05-02 00:00:00;4;8;balcão;pix;32
287;513;1770;2;2026-04-06 00:00:00;1;32,9;balcão;cartão de crédito;32,9
288;7070;264;9;2026-01-17 00:00:00;3;8;app;pix;24
289;6867;887;6;2026-01-07 00:00:00;4;15,9;delivery;pix;63,6
290;5076;643;6;2026-04-22 00:00:00;3;15,9;delivery;cartao de credito;47,7
291;4041;563;10;2026-02-21 00:00:00;2;12,9;delivery;cartão de crédito;25,8
292;5340;567;7;2026-01-11 00:00:00;3;18,9;delivery;pix;56,7
293;1279;997;3;2026-05-14 00:00:00;3;29,9;delivery;cartao de credito;89,7
294;398;476;3;2026-02-25 00:00:00;3;29,9;delivery;pix;89,7
295;4446;1018;9;2026-04-02 00:00:00;1;8;delivery;dinheiro;8
296;3205;1442;8;2026-05-23 00:00:00;3;8;delivery;cartao de credito;24
297;5812;1188;9;2026-03-30 00:00:00;1;8;delivery;cartão de crédito;8
298;443;1132;3;2026-06-20 00:00:00;4;29,9;delivery;dinheiro;119,6
299;1333;1158;1;2026-05-10 00:00:00;2;28,9;delivery;cartao de credito;57,8
300;7919;1255;1;2026-01-29 00:00:00;2;28,9;app;desconhecido;57,8
301;7849;1618;7;2026-05-06 00:00:00;2;18,9;delivery;pix;37,8
302;3327;1625;8;2026-01-20 00:00:00;1;8;app;dinheiro;8
303;3731;356;8;2026-04-10 00:00:00;2;8;app;dinheiro;16
304;2420;960;2;2026-06-24 00:00:00;4;32,9;delivery;cartao de credito;131,6
305;7438;128;6;2026-01-31 00:00:00;2;15,9;delivery;cartão de crédito;31,8
306;6880;1274;9;2026-05-30 00:00:00;1;8;app;cartao de credito;8
307;4421;1273;5;2026-02-25 00:00:00;4;16,9;delivery;pix;67,6
308;4344;1725;4;2026-02-02 00:00:00;4;14,9;delivery;pix;59,6
309;3065;1544;10;2026-06-23 00:00:00;2;12,9;app;dinheiro;25,8
310;4158;227;1;2026-05-19 00:00:00;3;28,9;app;cartao de credito;86,7
311;5832;229;3;2026-06-27 00:00:00;4;29,9;app;desconhecido;119,6
312;800;1250;2;2026-01-24 00:00:00;4;32,9;app;dinheiro;131,6
313;3825;1654;10;2026-02-21 00:00:00;2;12,9;app;pix;25,8
314;5003;1054;8;2026-03-03 00:00:00;2;8;app;cartao de credito;16
315;3438;818;5;2026-02-27 00:00:00;4;16,9;app;cartao de credito;67,6
316;6138;1011;8;2026-01-04 00:00:00;3;8;delivery;cartão de crédito;24
317;1694;1906;5;2026-01-17 00:00:00;3;16,9;delivery;pix;50,7
318;741;1060;6;2026-02-06 00:00:00;2;15,9;delivery;desconhecido;31,8
319;2510;386;5;2026-04-24 00:00:00;3;16,9;app;pix;50,7
320;4260;21;10;2026-06-15 00:00:00;1;12,9;app;pix;12,9
321;6101;1826;9;2026-06-07 00:00:00;4;8;delivery;dinheiro;32
322;698;1442;9;2026-02-08 00:00:00;2;8;delivery;dinheiro;16
323;3829;1566;7;2026-05-11 00:00:00;1;18,9;app;desconhecido;18,9
324;6612;769;1;2026-03-09 00:00:00;3;28,9;app;pix;86,7
325;6868;1640;9;2026-02-11 00:00:00;2;8;delivery;cartão de crédito;16
326;1057;412;6;2026-01-19 00:00:00;1;15,9;delivery;desconhecido;15,9
327;2162;15;1;2026-06-28 00:00:00;2;28,9;delivery;pix;57,8
328;3860;266;6;2026-03-30 00:00:00;3;15,9;app;desconhecido;47,7
329;4188;1728;2;2026-01-19 00:00:00;4;32,9;delivery;cartao de credito;131,6
330;4317;322;2;2026-02-13 00:00:00;2;32,9;delivery;cartão de crédito;65,8
331;2737;1258;2;2026-01-07 00:00:00;2;32,9;balcão;pix;65,8
332;6940;587;6;2026-05-10 00:00:00;3;15,9;balcão;desconhecido;47,7
333;7831;1197;4;2026-03-09 00:00:00;4;14,9;delivery;pix;59,6
334;6677;1117;5;2026-03-10 00:00:00;1;16,9;delivery;cartão de crédito;16,9
335;4574;1535;1;2026-01-19 00:00:00;4;28,9;app;pix;115,6
336;1323;475;5;2026-04-30 00:00:00;3;16,9;app;cartão de crédito;50,7
337;6171;18;1;2026-06-11 00:00:00;3;28,9;delivery;desconhecido;86,7
338;6239;593;9;2026-05-11 00:00:00;4;8;app;dinheiro;32
339;4078;1812;8;2026-02-03 00:00:00;1;8;balcão;cartão de crédito;8
340;577;1648;2;2026-03-07 00:00:00;4;32,9;delivery;pix;131,6
341;7389;1936;9;2026-03-24 00:00:00;2;8;app;pix;16
342;4242;1041;9;2026-05-18 00:00:00;4;8;delivery;cartão de crédito;32
343;5714;565;8;2026-06-26 00:00:00;2;8;delivery;dinheiro;16
344;61;1879;10;2026-04-24 00:00:00;2;12,9;balcão;cartao de credito;25,8
345;636;585;4;2026-03-07 00:00:00;3;14,9;app;pix;44,7
